Year,County,Region,Child Population,% of Children in Total Population,Total Population
2023,Angelina,5-Beaumont,23074,25,91271
2023,Aransas,11-Edinburg,5633,19,29270
2023,Archer,2-Abilene,1661,20,8228
2023,Armstrong,1-Lubbock,344,18,1950
2023,Atascosa,8-San Antonio,13963,26,54335
2023,Austin,6-Houston,7059,23,30974
2023,Bailey,1-Lubbock,2335,30,7874
2023,Bandera,8-San Antonio,3483,16,21466
2023,Bastrop,7-Austin,21424,24,89909
2023,Baylor,2-Abilene,836,23,3621
2023,Bee,11-Edinburg,7838,22,35184
2023,Bell,7-Austin,105484,29,366458
2023,Bexar,8-San Antonio,559105,25,2214963
2023,Blanco,7-Austin,2137,18,11804
2023,Borden,9-Midland,113,16,700
2023,Bosque,7-Austin,3724,21,17633
2023,Bowie,4-Tyler,18988,21,92377
2023,Brazoria,6-Houston,96445,24,397126
2023,Brazos,7-Austin,52669,22,241769
2023,Brewster,10-El Paso,2058,23,9033
2023,Briscoe,1-Lubbock,301,19,1546
2023,Brooks,11-Edinburg,1836,26,7144
2023,Brown,2-Abilene,8292,21,38996
2023,Burleson,7-Austin,4025,22,17912
2023,Burnet,7-Austin,10787,22,49893
2023,Caldwell,7-Austin,11333,25,46261
2023,Calhoun,8-San Antonio,5731,25,23166
2023,Callahan,2-Abilene,2500,19,13494
2023,Cameron,11-Edinburg,122761,28,432436
2023,Camp,4-Tyler,3337,25,13609
2023,Carson,1-Lubbock,1276,22,5748
2023,Cass,4-Tyler,6628,22,30123
2023,Castro,1-Lubbock,1846,27,6852
2023,Chambers,6-Houston,11577,26,45161
2023,Cherokee,4-Tyler,13064,25,52396
2023,Childress,1-Lubbock,1404,20,7035
2023,Clay,2-Abilene,1814,19,9473
2023,Cochran,1-Lubbock,970,28,3426
2023,Coke,9-Midland,643,20,3199
2023,Coleman,2-Abilene,1948,23,8373
2023,Collin,3-Arlington,268066,24,1131673
2023,Collingsworth,1-Lubbock,877,27,3276
2023,Colorado,6-Houston,5023,24,21376
2023,Comal,8-San Antonio,36094,22,162442
2023,Comanche,2-Abilene,2889,23,12767
2023,Concho,9-Midland,553,13,4160
2023,Cooke,3-Arlington,8950,22,40085
2023,Coryell,7-Austin,19240,24,79516
2023,Cottle,2-Abilene,309,20,1513
2023,Crane,9-Midland,1979,29,6908
2023,Crockett,9-Midland,998,24,4110
2023,Crosby,1-Lubbock,1680,26,6582
2023,Culberson,10-El Paso,431,20,2191
2023,Dallam,1-Lubbock,2331,31,7414
2023,Dallas,3-Arlington,749657,26,2845619
2023,Dawson,9-Midland,3280,24,13528
2023,DeWitt,8-San Antonio,4838,22,22238
2023,Deaf Smith,1-Lubbock,5360,30,17865
2023,Delta,4-Tyler,1124,21,5382
2023,Denton,3-Arlington,219793,22,984554
2023,Dickens,1-Lubbock,294,14,2101
2023,Dimmit,8-San Antonio,3726,30,12426
2023,Donley,1-Lubbock,666,20,3325
2023,Duval,11-Edinburg,3041,26,11698
2023,Eastland,2-Abilene,3963,22,18022
2023,Ector,9-Midland,59209,29,203192
2023,Edwards,8-San Antonio,392,20,1953
2023,El Paso,10-El Paso,246183,27,896675
2023,Ellis,3-Arlington,46242,25,187001
2023,Erath,3-Arlington,9032,21,42775
2023,Falls,7-Austin,3239,20,16285
2023,Fannin,3-Arlington,6881,20,34753
2023,Fayette,7-Austin,6090,23,26642
2023,Fisher,2-Abilene,847,21,3980
2023,Floyd,1-Lubbock,1368,24,5645
2023,Foard,2-Abilene,249,20,1234
2023,Fort Bend,6-Houston,227390,24,936811
2023,Franklin,4-Tyler,2778,25,10996
2023,Freestone,7-Austin,4413,22,19844
2023,Frio,8-San Antonio,4920,23,20965
2023,Gaines,9-Midland,7697,33,23668
2023,Galveston,6-Houston,90279,24,376165
2023,Garza,1-Lubbock,1423,21,6882
2023,Gillespie,8-San Antonio,5160,19,26721
2023,Glasscock,9-Midland,299,21,1412
2023,Goliad,8-San Antonio,1555,20,7886
2023,Gonzales,8-San Antonio,5701,26,21790
2023,Gray,1-Lubbock,6162,25,24942
2023,Grayson,3-Arlington,31239,23,134751
2023,Gregg,4-Tyler,31710,25,126594
2023,Grimes,7-Austin,6504,22,29553
2023,Guadalupe,8-San Antonio,45208,25,184455
2023,Hale,1-Lubbock,8653,27,32291
2023,Hall,1-Lubbock,781,24,3298
2023,Hamilton,7-Austin,1902,23,8200
2023,Hansford,1-Lubbock,1627,27,5926
2023,Hardeman,2-Abilene,939,25,3832
2023,Hardin,5-Beaumont,12144,21,56932
2023,Harris,6-Houston,1386883,26,5258527
2023,Harrison,4-Tyler,17571,25,68931
2023,Hartley,1-Lubbock,1189,19,6119
2023,Haskell,2-Abilene,1292,20,6330
2023,Hays,7-Austin,58015,22,263970
2023,Hemphill,1-Lubbock,1604,32,5031
2023,Henderson,4-Tyler,16854,21,81679
2023,Hidalgo,11-Edinburg,256879,29,897703
2023,Hill,7-Austin,8454,24,35666
2023,Hockley,1-Lubbock,6668,27,25129
2023,Hood,3-Arlington,12137,20,60915
2023,Hopkins,4-Tyler,8613,23,37472
2023,Houston,5-Beaumont,4517,20,22321
2023,Howard,9-Midland,10183,23,43463
2023,Hudspeth,10-El Paso,683,20,3404
2023,Hunt,3-Arlington,22709,23,98269
2023,Hutchinson,1-Lubbock,5275,25,21372
2023,Irion,9-Midland,254,17,1503
2023,Jack,2-Abilene,1952,22,8793
2023,Jackson,8-San Antonio,4340,26,16469
2023,Jasper,5-Beaumont,8095,23,35288
2023,Jeff Davis,10-El Paso,332,16,2054
2023,Jefferson,5-Beaumont,60861,23,260138
2023,Jim Hogg,11-Edinburg,1457,29,4997
2023,Jim Wells,11-Edinburg,12328,28,43372
2023,Johnson,3-Arlington,44988,25,178297
2023,Jones,2-Abilene,3187,16,19626
2023,Karnes,8-San Antonio,3525,23,15658
2023,Kaufman,3-Arlington,32846,25,132834
2023,Kendall,8-San Antonio,11526,22,51591
2023,Kenedy,11-Edinburg,111,23,490
2023,Kent,2-Abilene,156,19,803
2023,Kerr,8-San Antonio,10597,20,53104
2023,Kimble,9-Midland,813,19,4245
2023,King,1-Lubbock,54,17,320
2023,Kinney,8-San Antonio,724,21,3453
2023,Kleberg,11-Edinburg,6714,22,30792
2023,Knox,2-Abilene,1013,25,4017
2023,La Salle,8-San Antonio,1772,20,8825
2023,Lamar,4-Tyler,11193,22,49897
2023,Lamb,1-Lubbock,3157,25,12440
2023,Lampasas,7-Austin,4506,21,21467
2023,Lavaca,8-San Antonio,5319,25,21426
2023,Lee,7-Austin,4312,24,17881
2023,Leon,7-Austin,4150,23,18006
2023,Liberty,6-Houston,22003,25,88390
